model,risk_type,t_idx,param_name,param_value,MR,MR0,DeltaMR
Heston,ele,0.8,a,0.5,-0.036902379621573944,-0.05205704901838637,0.015154669396812426
Heston,ele,0.8,a,0.6071428571428571,-0.04165798926679265,-0.05205704901838637,0.01039905975159372
Heston,ele,0.8,a,0.7142857142857143,-0.04555209063349985,-0.05205704901838637,0.006504958384886517
Heston,ele,0.8,a,0.8214285714285714,-0.048632585593065714,-0.05205704901838637,0.0034244634253206563
Heston,ele,0.8,a,0.9285714285714286,-0.05093703741275912,-0.05205704901838637,0.0011200116056272469
Heston,ele,0.8,a,1.0357142857142856,-0.05249494089454587,-0.05205704901838637,-0.00043789187615950187
Heston,ele,0.8,a,1.1428571428571428,-0.05332934323938321,-0.05205704901838637,-0.001272294220996839
Heston,ele,0.8,a,1.25,-0.053458065991998205,-0.05205704901838637,-0.001401016973611835
Heston,ele,0.8,a,1.3571428571428572,-0.05289464153166057,-0.05205704901838637,-0.000837592513274199
Heston,ele,0.8,a,1.4642857142857142,-0.0516490310560872,-0.05205704901838637,0.00040801796229916754
Heston,ele,0.8,a,1.5714285714285714,-0.0497281634122525,-0.05205704901838637,0.002328885606133868
Heston,ele,0.8,a,1.6785714285714286,-0.047136317590213306,-0.05205704901838637,0.004920731428173064
Heston,ele,0.8,a,1.7857142857142856,-0.04387536436957207,-0.05205704901838637,0.008181684648814302
Heston,ele,0.8,a,1.8928571428571428,-0.039944882866616016,-0.05205704901838637,0.012112166151770354
Heston,ele,0.8,a,2.0,-0.03465765964327794,-0.05205704901838637,0.01739938937510843
