model,risk_type,t_idx,param_name,param_value,MR,MR0,DeltaMR
GBM,entl,0.2,gamma,0.1,-0.3285894004591256,-0.29692458709532743,-0.03166481336379817
GBM,entl,0.2,gamma,0.2357142857142857,-0.3237190943765549,-0.29692458709532743,-0.026794507281227453
GBM,entl,0.2,gamma,0.37142857142857144,-0.31888262451058125,-0.29692458709532743,-0.021958037415253817
GBM,entl,0.2,gamma,0.5071428571428571,-0.31407968137111125,-0.29692458709532743,-0.017155094275783822
GBM,entl,0.2,gamma,0.6428571428571428,-0.30931049461149107,-0.29692458709532743,-0.012385907516163641
GBM,entl,0.2,gamma,0.7785714285714285,-0.30457552089532464,-0.29692458709532743,-0.007650933799997206
GBM,entl,0.2,gamma,0.9142857142857143,-0.29987520901861114,-0.29692458709532743,-0.002950621923283714
GBM,entl,0.2,gamma,1.05,-0.2952098396941166,-0.29692458709532743,0.0017147474012108033
GBM,entl,0.2,gamma,1.1857142857142857,-0.29057943253076035,-0.29692458709532743,0.006345154564567079
GBM,entl,0.2,gamma,1.3214285714285714,-0.2859837086798089,-0.29692458709532743,0.010940878415518551
GBM,entl,0.2,gamma,1.457142857142857,-0.28142209550065794,-0.29692458709532743,0.015502491594669487
GBM,entl,0.2,gamma,1.5928571428571427,-0.2768937596617086,-0.29692458709532743,0.020030827433618836
GBM,entl,0.2,gamma,1.7285714285714286,-0.27239765685833217,-0.29692458709532743,0.02452693023699526
GBM,entl,0.2,gamma,1.8642857142857143,-0.2679325889869693,-0.29692458709532743,0.02899199810835812
GBM,entl,0.2,gamma,2.0,-0.26349726238630444,-0.29692458709532743,0.03342732470902299
