model,risk_type,t_idx,kappa,theta,MR,MR0,DeltaMR
Heston,ente,0.2,1.0,0.1,0.6507942012934282,0.018019728323562356,0.6327744729698659
Heston,ente,0.2,1.0,0.125,11.07684954658349,0.018019728323562356,11.058829818259929
Heston,ente,0.2,1.0,0.15,0.26662975187731086,0.018019728323562356,0.2486100235537485
Heston,ente,0.2,1.0,0.175,0.2513990379793958,0.018019728323562356,0.23337930965583342
Heston,ente,0.2,1.0,0.2,1.5228748127747682,0.018019728323562356,1.5048550844512059
Heston,ente,0.2,1.0,0.22499999999999998,0.3509784201678905,0.018019728323562356,0.33295869184432814
Heston,ente,0.2,1.0,0.25,9.286326104009522,0.018019728323562356,9.26830637568596
Heston,ente,0.2,1.0,0.275,0.24218972794776694,0.018019728323562356,0.22416999962420459
Heston,ente,0.2,1.0,0.3,24.677431880454325,0.018019728323562356,24.659412152130763
Heston,ente,0.2,1.375,0.1,24.979688259370064,0.018019728323562356,24.961668531046502
Heston,ente,0.2,1.375,0.125,0.44246802450467926,0.018019728323562356,0.4244482961811169
Heston,ente,0.2,1.375,0.15,0.043071656376765466,0.018019728323562356,0.02505192805320311
Heston,ente,0.2,1.375,0.175,1.7747799067875047,0.018019728323562356,1.7567601784639424
Heston,ente,0.2,1.375,0.2,58.0982710767687,0.018019728323562356,58.08025134844513
Heston,ente,0.2,1.375,0.22499999999999998,0.14650398567455492,0.018019728323562356,0.12848425735099256
Heston,ente,0.2,1.375,0.25,0.05116854269612214,0.018019728323562356,0.03314881437255979
Heston,ente,0.2,1.375,0.275,10.693714895933073,0.018019728323562356,10.675695167609511
Heston,ente,0.2,1.375,0.3,5.583087892287242,0.018019728323562356,5.56506816396368
Heston,ente,0.2,1.75,0.1,0.14632160205472688,0.018019728323562356,0.12830187373116453
Heston,ente,0.2,1.75,0.125,0.49912957293723914,0.018019728323562356,0.4811098446136768
Heston,ente,0.2,1.75,0.15,14.597950121139423,0.018019728323562356,14.57993039281586
Heston,ente,0.2,1.75,0.175,9.6125696025138,0.018019728323562356,9.594549874190237
Heston,ente,0.2,1.75,0.2,101.76168154841224,0.018019728323562356,101.74366182008868
Heston,ente,0.2,1.75,0.22499999999999998,49.13435120013703,0.018019728323562356,49.11633147181347
Heston,ente,0.2,1.75,0.25,43.18414667568194,0.018019728323562356,43.16612694735837
Heston,ente,0.2,1.75,0.275,17.7228350082745,0.018019728323562356,17.70481527995094
Heston,ente,0.2,1.75,0.3,0.8482098788474566,0.018019728323562356,0.8301901505238942
Heston,ente,0.2,2.125,0.1,7.883622691524856,0.018019728323562356,7.865602963201294
Heston,ente,0.2,2.125,0.125,0.004892560973561055,0.018019728323562356,-0.0131271673500013
Heston,ente,0.2,2.125,0.15,0.7800853347867707,0.018019728323562356,0.7620656064632083
Heston,ente,0.2,2.125,0.175,39.606747854987155,0.018019728323562356,39.58872812666359
Heston,ente,0.2,2.125,0.2,0.05569208441155671,0.018019728323562356,0.03767235608799435
Heston,ente,0.2,2.125,0.22499999999999998,2.710444596613133,0.018019728323562356,2.692424868289571
Heston,ente,0.2,2.125,0.25,116.2784728618708,0.018019728323562356,116.26045313354723
Heston,ente,0.2,2.125,0.275,38.108561714618034,0.018019728323562356,38.09054198629447
Heston,ente,0.2,2.125,0.3,45.94383416904799,0.018019728323562356,45.92581444072442
Heston,ente,0.2,2.5,0.1,9.341313407152214,0.018019728323562356,9.323293678828652
Heston,ente,0.2,2.5,0.125,2.3185911467632554,0.018019728323562356,2.3005714184396933
Heston,ente,0.2,2.5,0.15,0.3873840175274228,0.018019728323562356,0.36936428920386044
Heston,ente,0.2,2.5,0.175,19.26415447222792,0.018019728323562356,19.246134743904356
Heston,ente,0.2,2.5,0.2,8.660663132025359,0.018019728323562356,8.642643403701797
Heston,ente,0.2,2.5,0.22499999999999998,126.17502280718602,0.018019728323562356,126.15700307886246
Heston,ente,0.2,2.5,0.25,349.06990580945507,0.018019728323562356,349.0518860811315
Heston,ente,0.2,2.5,0.275,347.8985408952178,0.018019728323562356,347.88052116689425
Heston,ente,0.2,2.5,0.3,94.42063967989951,0.018019728323562356,94.40261995157594
Heston,ente,0.2,2.875,0.1,0.03685103420533897,0.018019728323562356,0.018831305881776617
Heston,ente,0.2,2.875,0.125,36.401204370594165,0.018019728323562356,36.3831846422706
Heston,ente,0.2,2.875,0.15,8.204315026482382,0.018019728323562356,8.18629529815882
Heston,ente,0.2,2.875,0.175,1.1106257995812787,0.018019728323562356,1.0926060712577164
Heston,ente,0.2,2.875,0.2,29.082600740185732,0.018019728323562356,29.06458101186217
Heston,ente,0.2,2.875,0.22499999999999998,25.317098449710286,0.018019728323562356,25.299078721386724
Heston,ente,0.2,2.875,0.25,260.22842310446146,0.018019728323562356,260.2104033761379
Heston,ente,0.2,2.875,0.275,12.610442645700429,0.018019728323562356,12.592422917376867
Heston,ente,0.2,2.875,0.3,30.497544699272375,0.018019728323562356,30.479524970948813
Heston,ente,0.2,3.25,0.1,6.328494014512129,0.018019728323562356,6.310474286188567
Heston,ente,0.2,3.25,0.125,0.7965761121835029,0.018019728323562356,0.7785563838599405
Heston,ente,0.2,3.25,0.15,7.386754510651601,0.018019728323562356,7.368734782328039
Heston,ente,0.2,3.25,0.175,1.0541929969141917,0.018019728323562356,1.0361732685906293
Heston,ente,0.2,3.25,0.2,18.946455802668194,0.018019728323562356,18.92843607434463
Heston,ente,0.2,3.25,0.22499999999999998,42.405886698347814,0.018019728323562356,42.38786697002425
Heston,ente,0.2,3.25,0.25,29.469200650111475,0.018019728323562356,29.451180921787913
