model,risk_type,t_idx,meanJ,lam,MR,MR0,DeltaMR
Jump,entl,0.2,-0.07500000000000001,0.625,0.05385462371692005,-0.08403079400852875,0.1378854177254488
Jump,entl,0.2,-0.07500000000000001,0.75,0.16265128557793293,-0.08403079400852875,0.24668207958646168
Jump,entl,0.2,-0.07500000000000001,0.875,0.18371606506421137,-0.08403079400852875,0.2677468590727401
Jump,entl,0.2,-0.07500000000000001,1.0,0.15465932693431478,-0.08403079400852875,0.23869012094284353
Jump,entl,0.2,0.0,0.0,-0.2458411856806659,-0.08403079400852875,-0.16181039167213715
Jump,entl,0.2,0.0,0.125,-0.23225310481890862,-0.08403079400852875,-0.14822231081037987
Jump,entl,0.2,0.0,0.25,-0.22500013107998687,-0.08403079400852875,-0.14096933707145812
Jump,entl,0.2,0.0,0.375,-0.20334376195978435,-0.08403079400852875,-0.1193129679512556
Jump,entl,0.2,0.0,0.5,-0.2013111292099536,-0.08403079400852875,-0.11728033520142483
Jump,entl,0.2,0.0,0.625,-0.17179022043283948,-0.08403079400852875,-0.08775942642431073
Jump,entl,0.2,0.0,0.75,-0.12626678360782567,-0.08403079400852875,-0.04223598959929692
Jump,entl,0.2,0.0,0.875,-0.19706438126411802,-0.08403079400852875,-0.11303358725558926
Jump,entl,0.2,0.0,1.0,-0.13943212554790288,-0.08403079400852875,-0.05540133153937413
Jump,entl,0.2,0.07500000000000001,0.0,-0.14954726872652557,-0.08403079400852875,-0.06551647471799682
Jump,entl,0.2,0.07500000000000001,0.125,-0.3300525353957637,-0.08403079400852875,-0.24602174138723493
Jump,entl,0.2,0.07500000000000001,0.25,-0.33356679182154136,-0.08403079400852875,-0.2495359978130126
Jump,entl,0.2,0.07500000000000001,0.375,-0.5108886778941618,-0.08403079400852875,-0.42685788388563306
Jump,entl,0.2,0.07500000000000001,0.5,-0.487133442066176,-0.08403079400852875,-0.40310264805764723
Jump,entl,0.2,0.07500000000000001,0.625,-0.5733044825799835,-0.08403079400852875,-0.4892736885714547
Jump,entl,0.2,0.07500000000000001,0.75,-0.6426255915252678,-0.08403079400852875,-0.558594797516739
Jump,entl,0.2,0.07500000000000001,0.875,-0.8189260524287104,-0.08403079400852875,-0.7348952584201817
Jump,entl,0.2,0.07500000000000001,1.0,-0.8033603475571818,-0.08403079400852875,-0.719329553548653
Jump,entl,0.2,0.14999999999999997,0.0,-0.19952963053536685,-0.08403079400852875,-0.1154988365268381
Jump,entl,0.2,0.14999999999999997,0.125,-0.3651669135337122,-0.08403079400852875,-0.28113611952518347
Jump,entl,0.2,0.14999999999999997,0.25,-0.5034320399886831,-0.08403079400852875,-0.4194012459801544
Jump,entl,0.2,0.14999999999999997,0.375,-0.710574509961633,-0.08403079400852875,-0.6265437159531042
Jump,entl,0.2,0.14999999999999997,0.5,-0.7778802651121638,-0.08403079400852875,-0.693849471103635
Jump,entl,0.2,0.14999999999999997,0.625,-0.9877289563629029,-0.08403079400852875,-0.9036981623543742
Jump,entl,0.2,0.14999999999999997,0.75,-1.1501972636236655,-0.08403079400852875,-1.0661664696151367
Jump,entl,0.2,0.14999999999999997,0.875,-1.2622222360578346,-0.08403079400852875,-1.1781914420493058
Jump,entl,0.2,0.14999999999999997,1.0,-1.459735137497997,-0.08403079400852875,-1.3757043434894682
Jump,entl,0.2,0.22500000000000003,0.0,-0.27372857243304866,-0.08403079400852875,-0.1896977784245199
Jump,entl,0.2,0.22500000000000003,0.125,-0.4296412320524153,-0.08403079400852875,-0.3456104380438865
Jump,entl,0.2,0.22500000000000003,0.25,-0.6753956960834369,-0.08403079400852875,-0.5913649020749081
Jump,entl,0.2,0.22500000000000003,0.375,-0.8900323402809567,-0.08403079400852875,-0.8060015462724279
Jump,entl,0.2,0.22500000000000003,0.5,-1.1943560576768655,-0.08403079400852875,-1.1103252636683367
Jump,entl,0.2,0.22500000000000003,0.625,-1.5537801595005103,-0.08403079400852875,-1.4697493654919815
Jump,entl,0.2,0.22500000000000003,0.75,-1.683909658587004,-0.08403079400852875,-1.5998788645784752
Jump,entl,0.2,0.22500000000000003,0.875,-2.174036363554051,-0.08403079400852875,-2.0900055695455224
Jump,entl,0.2,0.22500000000000003,1.0,-2.5501931341260047,-0.08403079400852875,-2.466162340117476
Jump,entl,0.2,0.3,0.0,-0.1851251729407156,-0.08403079400852875,-0.10109437893218684
Jump,entl,0.2,0.3,0.125,-0.5404174413811633,-0.08403079400852875,-0.45638664737263457
Jump,entl,0.2,0.3,0.25,-0.7286012296383815,-0.08403079400852875,-0.6445704356298527
Jump,entl,0.2,0.3,0.375,-1.1103215284142836,-0.08403079400852875,-1.0262907344057548
Jump,entl,0.2,0.3,0.5,-1.466698921531371,-0.08403079400852875,-1.3826681275228423
Jump,entl,0.2,0.3,0.625,-2.3949976043849643,-0.08403079400852875,-2.310966810376436
Jump,entl,0.2,0.3,0.75,-2.391197350369657,-0.08403079400852875,-2.3071665563611283
Jump,entl,0.2,0.3,0.875,-2.7756181906580366,-0.08403079400852875,-2.691587396649508
Jump,entl,0.2,0.3,1.0,-3.3307991950901514,-0.08403079400852875,-3.2467684010816225
