model,risk_type,t_idx,param_name,param_value,MR,MR0,DeltaMR
Jump,entw,0.2,k,1.1,1.6003693090767976,62.34113928007406,-60.74076997099726
Jump,entw,0.2,k,1.2357142857142858,3.6810509328565018,62.34113928007406,-58.66008834721756
Jump,entw,0.2,k,1.3714285714285714,6.946402107822896,62.34113928007406,-55.39473717225116
Jump,entw,0.2,k,1.5071428571428571,11.709767589865637,62.34113928007406,-50.631371690208425
Jump,entw,0.2,k,1.6428571428571428,18.76345126560652,62.34113928007406,-43.57768801446754
Jump,entw,0.2,k,1.7785714285714285,29.521605080464173,62.34113928007406,-32.81953419960989
Jump,entw,0.2,k,1.9142857142857144,46.48866441143113,62.34113928007406,-15.852474868642929
Jump,entw,0.2,k,2.05,74.2566676526688,62.34113928007406,11.915528372594736
Jump,entw,0.2,k,2.185714285714286,121.59591816264606,62.34113928007406,59.254778882572
Jump,entw,0.2,k,2.321428571428571,206.0227950158605,62.34113928007406,143.68165573578645
Jump,entw,0.2,k,2.4571428571428573,364.27864729344185,62.34113928007406,301.9375080133678
Jump,entw,0.2,k,2.5928571428571425,677.6860618358029,62.34113928007406,615.3449225557288
Jump,entw,0.2,k,2.7285714285714286,inf,62.34113928007406,inf
Jump,entw,0.2,k,2.8642857142857143,inf,62.34113928007406,inf
Jump,entw,0.2,k,3.0,inf,62.34113928007406,inf
