model,risk_type,t_idx,param_name,param_value,MR,MR0,DeltaMR
Heston,entl,0.8,gamma,0.1,-0.10173680855334334,-0.05346095682733825,-0.04827585172600509
Heston,entl,0.8,gamma,0.2357142857142857,-0.09020360732764404,-0.05346095682733825,-0.03674265050030579
Heston,entl,0.8,gamma,0.37142857142857144,-0.08192151130301314,-0.05346095682733825,-0.028460554475674894
Heston,entl,0.8,gamma,0.5071428571428571,-0.07484829381560913,-0.05346095682733825,-0.02138733698827088
Heston,entl,0.8,gamma,0.6428571428571428,-0.0684494737168435,-0.05346095682733825,-0.014988516889505248
Heston,entl,0.8,gamma,0.7785714285714285,-0.0624995429759717,-0.05346095682733825,-0.009038586148633447
Heston,entl,0.8,gamma,0.9142857142857143,-0.05687770745031928,-0.05346095682733825,-0.003416750622981031
Heston,entl,0.8,gamma,1.05,-0.051508656616866516,-0.05346095682733825,0.0019523002104717344
Heston,entl,0.8,gamma,1.1857142857142857,-0.04634082699968913,-0.05346095682733825,0.007120129827649119
Heston,entl,0.8,gamma,1.3214285714285714,-0.04133689442556464,-0.05346095682733825,0.012124062401773612
Heston,entl,0.8,gamma,1.457142857142857,-0.036468909792855116,-0.05346095682733825,0.016992047034483135
Heston,entl,0.8,gamma,1.5928571428571427,-0.03171546462475547,-0.05346095682733825,0.021745492202582782
Heston,entl,0.8,gamma,1.7285714285714286,-0.027059838714804035,-0.05346095682733825,0.026401118112534216
Heston,entl,0.8,gamma,1.8642857142857143,-0.022488665789385957,-0.05346095682733825,0.030972291037952293
Heston,entl,0.8,gamma,2.0,-0.017511257795312856,-0.05346095682733825,0.0359496990320254
