model,risk_type,t_idx,mu,sigma,MR,MR0,DeltaMR
GBM,ente,0.2,0.0625,0.1,-0.29862407924779644,-0.12969727238841677,-0.16892680685937966
GBM,ente,0.2,0.0625,0.1375,-0.27946141665811963,-0.12969727238841677,-0.14976414426970286
GBM,ente,0.2,0.0625,0.17500000000000002,-0.18522439836092552,-0.12969727238841677,-0.05552712597250875
GBM,ente,0.2,0.0625,0.21250000000000002,-0.2154126392788943,-0.12969727238841677,-0.08571536689047754
GBM,ente,0.2,0.0625,0.25,-0.16611810470646415,-0.12969727238841677,-0.03642083231804738
GBM,ente,0.2,0.0625,0.28750000000000003,-0.12498337018722705,-0.12969727238841677,0.004713902201189724
GBM,ente,0.2,0.0625,0.32500000000000007,-0.048956091953755165,-0.12969727238841677,0.08074118043466161
GBM,ente,0.2,0.0625,0.36250000000000004,-0.061709362987548255,-0.12969727238841677,0.06798790940086852
GBM,ente,0.2,0.0625,0.4,-0.0034401472926892662,-0.12969727238841677,0.1262571250957275
GBM,ente,0.2,0.06875,0.1,-0.34414338620336626,-0.12969727238841677,-0.2144461138149495
GBM,ente,0.2,0.06875,0.1375,-0.30359737165090495,-0.12969727238841677,-0.17390009926248817
GBM,ente,0.2,0.06875,0.17500000000000002,-0.281076898807188,-0.12969727238841677,-0.15137962641877123
GBM,ente,0.2,0.06875,0.21250000000000002,-0.23481809330390346,-0.12969727238841677,-0.10512082091548669
GBM,ente,0.2,0.06875,0.25,-0.3131137359043742,-0.12969727238841677,-0.18341646351595742
GBM,ente,0.2,0.06875,0.28750000000000003,-0.2481679003073357,-0.12969727238841677,-0.11847062791891894
GBM,ente,0.2,0.06875,0.32500000000000007,-0.14427867991169563,-0.12969727238841677,-0.014581407523278855
GBM,ente,0.2,0.06875,0.36250000000000004,-0.12771580939828786,-0.12969727238841677,0.0019814629901289127
GBM,ente,0.2,0.06875,0.4,-0.02056024017806035,-0.12969727238841677,0.10913703221035642
GBM,ente,0.2,0.075,0.1,-0.3554902761914813,-0.12969727238841677,-0.22579300380306455
GBM,ente,0.2,0.075,0.1375,-0.3782583799073548,-0.12969727238841677,-0.248561107518938
GBM,ente,0.2,0.075,0.17500000000000002,-0.3134002744201012,-0.12969727238841677,-0.18370300203168444
GBM,ente,0.2,0.075,0.21250000000000002,-0.2524643312413323,-0.12969727238841677,-0.1227670588529155
GBM,ente,0.2,0.075,0.25,-0.1982253016095492,-0.12969727238841677,-0.06852802922113244
GBM,ente,0.2,0.075,0.28750000000000003,-0.25072083236323106,-0.12969727238841677,-0.12102355997481429
GBM,ente,0.2,0.075,0.32500000000000007,-0.12520375867503553,-0.12969727238841677,0.0044935137133812475
GBM,ente,0.2,0.075,0.36250000000000004,-0.09345476140229358,-0.12969727238841677,0.03624251098612319
GBM,ente,0.2,0.075,0.4,0.12208282592190067,-0.12969727238841677,0.25178009831031745
