model,risk_type,t_idx,param_name,param_value,MR,MR0,DeltaMR
Jump,ente,0.2,gamma,0.1,-0.09433579334719322,0.7260664115975064,-0.8204022049446996
Jump,ente,0.2,gamma,0.2357142857142857,-0.0756556889666562,0.7260664115975064,-0.8017221005641626
Jump,ente,0.2,gamma,0.37142857142857144,-0.04568539367442348,0.7260664115975064,-0.7717518052719299
Jump,ente,0.2,gamma,0.5071428571428571,0.003932961227657961,0.7260664115975064,-0.7221334503698484
Jump,ente,0.2,gamma,0.6428571428571428,0.09074938670271226,0.7260664115975064,-0.6353170248947941
Jump,ente,0.2,gamma,0.7785714285714285,0.24528208367814375,0.7260664115975064,-0.48078432791936265
Jump,ente,0.2,gamma,0.9142857142857143,0.5031062714198988,0.7260664115975064,-0.22296014017760757
Jump,ente,0.2,gamma,1.05,0.8747115169227937,0.7260664115975064,0.1486451053252873
Jump,ente,0.2,gamma,1.1857142857142857,1.3198319178170435,0.7260664115975064,0.593765506219537
Jump,ente,0.2,gamma,1.3214285714285714,1.7748042307205458,0.7260664115975064,1.0487378191230394
Jump,ente,0.2,gamma,1.457142857142857,2.1962869840154253,0.7260664115975064,1.470220572417919
Jump,ente,0.2,gamma,1.5928571428571427,2.5689939074297357,0.7260664115975064,1.8429274958322293
Jump,ente,0.2,gamma,1.7285714285714286,2.8932839251175304,0.7260664115975064,2.167217513520024
Jump,ente,0.2,gamma,1.8642857142857143,3.1749719593723436,0.7260664115975064,2.448905547774837
Jump,ente,0.2,gamma,2.0,3.4207134688674143,0.7260664115975064,2.6946470572699077
