model,risk_type,t_idx,mu,sigma,MR,MR0,DeltaMR
GBM,entl,0.8,0.056249999999999994,0.36250000000000004,0.04158762493253526,-0.04460333072015619,0.08619095565269144
GBM,entl,0.8,0.056249999999999994,0.4,0.013746245402748485,-0.04460333072015619,0.05834957612290467
GBM,entl,0.8,0.0625,0.1,-0.10005367477520241,-0.04460333072015619,-0.05545034405504622
GBM,entl,0.8,0.0625,0.1375,-0.108110668222746,-0.04460333072015619,-0.0635073375025898
GBM,entl,0.8,0.0625,0.17500000000000002,-0.02486572833130544,-0.04460333072015619,0.019737602388850747
GBM,entl,0.8,0.0625,0.21250000000000002,-0.06318530791660502,-0.04460333072015619,-0.018581977196448836
GBM,entl,0.8,0.0625,0.25,-0.039007486527131936,-0.04460333072015619,0.005595844193024252
GBM,entl,0.8,0.0625,0.28750000000000003,-0.024062812047370007,-0.04460333072015619,0.02054051867278618
GBM,entl,0.8,0.0625,0.32500000000000007,-0.04030244460303429,-0.04460333072015619,0.004300886117121899
GBM,entl,0.8,0.0625,0.36250000000000004,-0.017606756984855112,-0.04460333072015619,0.026996573735301076
GBM,entl,0.8,0.0625,0.4,0.060073695565803775,-0.04460333072015619,0.10467702628595996
GBM,entl,0.8,0.06875,0.1,-0.1343222201067369,-0.04460333072015619,-0.08971888938658071
GBM,entl,0.8,0.06875,0.1375,-0.08807816219206158,-0.04460333072015619,-0.04347483147190539
GBM,entl,0.8,0.06875,0.17500000000000002,-0.04817752326035584,-0.04460333072015619,-0.0035741925401996527
GBM,entl,0.8,0.06875,0.21250000000000002,-0.09661147299826546,-0.04460333072015619,-0.05200814227810927
GBM,entl,0.8,0.06875,0.25,-0.04238109856971924,-0.04460333072015619,0.0022222321504369452
GBM,entl,0.8,0.06875,0.28750000000000003,-0.025356590755618767,-0.04460333072015619,0.01924673996453742
GBM,entl,0.8,0.06875,0.32500000000000007,-0.03121405659726973,-0.04460333072015619,0.013389274122886458
GBM,entl,0.8,0.06875,0.36250000000000004,0.04562666259731116,-0.04460333072015619,0.09022999331746734
GBM,entl,0.8,0.06875,0.4,0.024007704344452797,-0.04460333072015619,0.06861103506460899
GBM,entl,0.8,0.075,0.1,-0.14112281275593017,-0.04460333072015619,-0.09651948203577398
GBM,entl,0.8,0.075,0.1375,-0.0875066389791978,-0.04460333072015619,-0.042903308259041616
GBM,entl,0.8,0.075,0.17500000000000002,-0.10451536523506774,-0.04460333072015619,-0.059912034514911554
GBM,entl,0.8,0.075,0.21250000000000002,-0.08432631681590931,-0.04460333072015619,-0.03972298609575312
GBM,entl,0.8,0.075,0.25,-0.04378525842381459,-0.04460333072015619,0.0008180722963416001
GBM,entl,0.8,0.075,0.28750000000000003,-0.08147122342430052,-0.04460333072015619,-0.03686789270414433
GBM,entl,0.8,0.075,0.32500000000000007,0.012784016597418475,-0.04460333072015619,0.057387347317574666
GBM,entl,0.8,0.075,0.36250000000000004,-0.019507099988156622,-0.04460333072015619,0.025096230731999566
GBM,entl,0.8,0.075,0.4,0.060764986523766246,-0.04460333072015619,0.10536831724392243
