model,risk_type,t_idx,param_name,param_value,MR,MR0,DeltaMR
Jump,entl,0.8,gamma,0.1,0.0017233207199151314,0.01067553645287245,-0.00895221573295732
Jump,entl,0.8,gamma,0.2357142857142857,0.002976436045374384,0.01067553645287245,-0.007699100407498067
Jump,entl,0.8,gamma,0.37142857142857144,0.004261197563805151,0.01067553645287245,-0.006414338889067299
Jump,entl,0.8,gamma,0.5071428571428571,0.005579275687790833,0.01067553645287245,-0.005096260765081618
Jump,entl,0.8,gamma,0.6428571428571428,0.006932450079508142,0.01067553645287245,-0.0037430863733643087
Jump,entl,0.8,gamma,0.7785714285714285,0.008322619363794389,0.01067553645287245,-0.002352917089078062
Jump,entl,0.8,gamma,0.9142857142857143,0.009751810852977051,0.01067553645287245,-0.0009237255998953992
Jump,entl,0.8,gamma,1.05,0.011222190131366983,0.01067553645287245,0.0005466536784945325
Jump,entl,0.8,gamma,1.1857142857142857,0.012736070338019111,0.01067553645287245,0.0020605338851466606
Jump,entl,0.8,gamma,1.3214285714285714,0.0142959209751952,0.01067553645287245,0.00362038452232275
Jump,entl,0.8,gamma,1.457142857142857,0.015904376056458967,0.01067553645287245,0.005228839603586517
Jump,entl,0.8,gamma,1.5928571428571427,0.01756424139232617,0.01067553645287245,0.006888704939453719
Jump,entl,0.8,gamma,1.7285714285714286,0.019278500792731596,0.01067553645287245,0.008602964339859145
Jump,entl,0.8,gamma,1.8642857142857143,0.02105032094438177,0.01067553645287245,0.01037478449150932
Jump,entl,0.8,gamma,2.0,0.02288305469758738,0.01067553645287245,0.01220751824471493
