model,risk_type,t_idx,param_name,param_value,MR,MR0,DeltaMR
GBM,entl,0.8,gamma,0.1,-0.05674710704622543,-0.04950669617883988,-0.007240410867385548
GBM,entl,0.8,gamma,0.2357142857142857,-0.05567466553134949,-0.04950669617883988,-0.006167969352509607
GBM,entl,0.8,gamma,0.37142857142857144,-0.054595539008017724,-0.04950669617883988,-0.005088842829177841
GBM,entl,0.8,gamma,0.5071428571428571,-0.05350958101896288,-0.04950669617883988,-0.004002884840122997
GBM,entl,0.8,gamma,0.6428571428571428,-0.05241666982295784,-0.04950669617883988,-0.0029099736441179566
GBM,entl,0.8,gamma,0.7785714285714285,-0.0513167065408076,-0.04950669617883988,-0.0018100103619677135
GBM,entl,0.8,gamma,0.9142857142857143,-0.05020961344810191,-0.04950669617883988,-0.0007029172692620267
GBM,entl,0.8,gamma,1.05,-0.0490953324044988,-0.04950669617883988,0.00041136377434108223
GBM,entl,0.8,gamma,1.1857142857142857,-0.04797382341053634,-0.04950669617883988,0.0015328727683035434
GBM,entl,0.8,gamma,1.3214285714285714,-0.046845063283704906,-0.04950669617883988,0.002661632895134977
GBM,entl,0.8,gamma,1.457142857142857,-0.04570904444574283,-0.04950669617883988,0.0037976517330970544
GBM,entl,0.8,gamma,1.5928571428571427,-0.044565773813092485,-0.04950669617883988,0.004940922365747398
GBM,entl,0.8,gamma,1.7285714285714286,-0.04341527178225315,-0.04950669617883988,0.006091424396586734
GBM,entl,0.8,gamma,1.8642857142857143,-0.0422575713015674,-0.04950669617883988,0.0072491248772724864
GBM,entl,0.8,gamma,2.0,-0.04109271702088071,-0.04950669617883988,0.008413979157959176
