model,risk_type,t_idx,param_name,param_value,MR,MR0,DeltaMR
Jump,entw,0.8,k,1.1,0.0551883021665609,0.017226402055577017,0.03796190011098388
Jump,entw,0.8,k,1.2357142857142858,0.04469321360546341,0.017226402055577017,0.027466811549886394
Jump,entw,0.8,k,1.3714285714285714,0.036742579413898246,0.017226402055577017,0.01951617735832123
Jump,entw,0.8,k,1.5071428571428571,0.030617880363920325,0.017226402055577017,0.013391478308343308
Jump,entw,0.8,k,1.6428571428571428,0.025829909209809765,0.017226402055577017,0.008603507154232748
Jump,entw,0.8,k,1.7785714285714285,0.022037960392677025,0.017226402055577017,0.004811558337100008
Jump,entw,0.8,k,1.9142857142857144,0.01899889680304989,0.017226402055577017,0.0017724947474728747
Jump,entw,0.8,k,2.05,0.016377693556054007,0.017226402055577017,-0.0008487084995230099
Jump,entw,0.8,k,2.185714285714286,0.014363722425326797,0.017226402055577017,-0.00286267963025022
Jump,entw,0.8,k,2.321428571428571,0.012700151340313548,0.017226402055577017,-0.004526250715263469
Jump,entw,0.8,k,2.4571428571428573,0.01131364919100375,0.017226402055577017,-0.005912752864573267
Jump,entw,0.8,k,2.5928571428571425,0.010106233591419933,0.017226402055577017,-0.007120168464157084
Jump,entw,0.8,k,2.7285714285714286,0.009119400757231277,0.017226402055577017,-0.00810700129834574
Jump,entw,0.8,k,2.8642857142857143,0.00827670261162039,0.017226402055577017,-0.008949699443956627
Jump,entw,0.8,k,3.0,0.007551710186976868,0.017226402055577017,-0.00967469186860015
