model,risk_type,t_idx,param_name,param_value,MR,MR0,DeltaMR
Heston,ente,0.2,gamma,0.1,-0.10376991560406135,0.017431188572080147,-0.1212011041761415
Heston,ente,0.2,gamma,0.2357142857142857,-0.08541211517244185,0.017431188572080147,-0.102843303744522
Heston,ente,0.2,gamma,0.37142857142857144,-0.0672145426266022,0.017431188572080147,-0.08464573119868235
Heston,ente,0.2,gamma,0.5071428571428571,-0.04910347040049279,0.017431188572080147,-0.06653465897257294
Heston,ente,0.2,gamma,0.6428571428571428,-0.030964575851964993,0.017431188572080147,-0.04839576442404514
Heston,ente,0.2,gamma,0.7785714285714285,-0.01271551503282875,0.017431188572080147,-0.030146703604908898
Heston,ente,0.2,gamma,0.9142857142857143,0.005698656195453067,0.017431188572080147,-0.01173253237662708
Heston,ente,0.2,gamma,1.05,0.024315385714411164,0.017431188572080147,0.006884197142331017
Heston,ente,0.2,gamma,1.1857142857142857,0.043160297825024285,0.017431188572080147,0.025729109252944138
Heston,ente,0.2,gamma,1.3214285714285714,0.06225013265125867,0.017431188572080147,0.044818944079178524
Heston,ente,0.2,gamma,1.457142857142857,0.08159436245034601,0.017431188572080147,0.06416317387826587
Heston,ente,0.2,gamma,1.5928571428571427,0.10119615893700606,0.017431188572080147,0.08376497036492592
Heston,ente,0.2,gamma,1.7285714285714286,0.12105301372944044,0.017431188572080147,0.10362182515736029
Heston,ente,0.2,gamma,1.8642857142857143,0.14115717002229244,0.017431188572080147,0.1237259814502123
Heston,ente,0.2,gamma,2.0,0.1614959646428311,0.017431188572080147,0.14406477607075097
