model,risk_type,t_idx,meanJ,lam,MR,MR0,DeltaMR
Jump,ente,0.8,0.07500000000000001,0.625,-0.1027900238146292,0.028038176665164283,-0.1308282004797935
Jump,ente,0.8,0.07500000000000001,0.75,-0.14260214245069058,0.028038176665164283,-0.17064031911585487
Jump,ente,0.8,0.07500000000000001,0.875,-0.14777502479795956,0.028038176665164283,-0.17581320146312385
Jump,ente,0.8,0.07500000000000001,1.0,-0.1180841916149904,0.028038176665164283,-0.14612236828015468
Jump,ente,0.8,0.14999999999999997,0.0,-0.04237999085007993,0.028038176665164283,-0.07041816751524421
Jump,ente,0.8,0.14999999999999997,0.125,-0.05980369742658076,0.028038176665164283,-0.08784187409174504
Jump,ente,0.8,0.14999999999999997,0.25,-0.008739517331133095,0.028038176665164283,-0.03677769399629738
Jump,ente,0.8,0.14999999999999997,0.375,-0.11208174185095277,0.028038176665164283,-0.14011991851611705
Jump,ente,0.8,0.14999999999999997,0.5,-0.20180584160818227,0.028038176665164283,-0.22984401827334655
Jump,ente,0.8,0.14999999999999997,0.625,-0.20322481373973256,0.028038176665164283,-0.23126299040489684
Jump,ente,0.8,0.14999999999999997,0.75,0.30637050140269784,0.028038176665164283,0.27833232473753355
Jump,ente,0.8,0.14999999999999997,0.875,-0.2826162165011785,0.028038176665164283,-0.3106543931663428
Jump,ente,0.8,0.14999999999999997,1.0,-0.3319498829087969,0.028038176665164283,-0.3599880595739612
Jump,ente,0.8,0.22500000000000003,0.0,-0.047035171315800706,0.028038176665164283,-0.07507334798096499
Jump,ente,0.8,0.22500000000000003,0.125,-0.07946941473141023,0.028038176665164283,-0.10750759139657451
Jump,ente,0.8,0.22500000000000003,0.25,-0.11204498533977747,0.028038176665164283,-0.14008316200494175
Jump,ente,0.8,0.22500000000000003,0.375,-0.2012815928564956,0.028038176665164283,-0.2293197695216599
Jump,ente,0.8,0.22500000000000003,0.5,-0.22651807122582557,0.028038176665164283,-0.25455624789098985
Jump,ente,0.8,0.22500000000000003,0.625,-0.2874621736943156,0.028038176665164283,-0.3155003503594799
Jump,ente,0.8,0.22500000000000003,0.75,-0.2635256872996231,0.028038176665164283,-0.2915638639647874
Jump,ente,0.8,0.22500000000000003,0.875,-0.3926377962777674,0.028038176665164283,-0.4206759729429317
Jump,ente,0.8,0.22500000000000003,1.0,-0.4929614865502536,0.028038176665164283,-0.5209996632154179
Jump,ente,0.8,0.3,0.0,-0.010436018126259161,0.028038176665164283,-0.038474194791423444
Jump,ente,0.8,0.3,0.125,2.345347599312556,0.028038176665164283,2.3173094226473916
Jump,ente,0.8,0.3,0.25,-0.12434805715993413,0.028038176665164283,-0.15238623382509842
Jump,ente,0.8,0.3,0.375,1.3974739194141454,0.028038176665164283,1.3694357427489812
Jump,ente,0.8,0.3,0.5,-0.07875742124349439,0.028038176665164283,-0.10679559790865867
Jump,ente,0.8,0.3,0.625,-0.2672663011248023,0.028038176665164283,-0.2953044777899666
Jump,ente,0.8,0.3,0.75,-0.47498624215310503,0.028038176665164283,-0.5030244188182693
Jump,ente,0.8,0.3,0.875,-0.5789441671309581,0.028038176665164283,-0.6069823437961224
Jump,ente,0.8,0.3,1.0,-0.6246828157295194,0.028038176665164283,-0.6527209923946837
